title,content,hyperlink,type
FDA Tallies Cases of Fournier Gangrene in Patients Taking SGLT2 Inhibitors,"The US Food and Drug Administration has identified 55 new cases of Fournier gangrene in patients with type 2 diabetes treated with sodium-glucose co-transporter-2 (SGLT2) inhibitors and recommend physicians prescribing the drugs ""have a high index of suspicion"" to identify the condition in its earliest stages. Time from onset after starting the SGLT2 inhibitor ranged from 5 days to 49 months and all patients required ""surgical debridement and were severely ill,"" according to the new analysis of the FDA Adverse Event Reporting System (FAERS) database published May 6, 2017, in the Annals of Internal Medicine.Susan Bersoff-Matcha, MD (Food and Drug Administration, Silver Spring, MD), who led the analysis, stressed that Fournier gangrene is a rare event. ""While our study shows an association between treatment with SGLT2 inhibitors and Fournier gangrene, we don't know exactly what the risk is, or if Fournier gangrene can be predicted,"" she told TCTMD via email. ""Doctors should be aware of the association between Fournier gangrene and SGLT2 inhibitor use and discuss this potential complication as part of an informed prescriber-patient discussion regarding appropriate diabetes therapy. Although the risk for Fournier gangrene is low, serious infection should be considered and weighed against the benefits of SGLT2 inhibitor therapy.""Also known as necrotizing fasciitis of perineum, the condition is a rapid and progressive infection of the external genitalia, perineum, and perianal region that is treated with antibiotics and immediate surgery. The overall incidence of Fournier gangrene in the general population is 1.6 per 100,000 men, with a peak incidence of 3.3 per 100,000 men aged 50 to 79 years. Recent studies have shown that Fournier gangrene can occur in both men and women, with cutaneous, anorectal, and urogenital infections attributed as the cause in the majority of these cases. Bersoff-Matcha noted that diabetes is a known risk factor for Fournier gangrene, as is alcoholism, HIV infection, and use of cytotoxic drugs. The reason Fournier gangrene develops in a small minority of patients with diabetes is not well understood, she said.Dear Doctor Letters IssuedThe 55 cases of Fournier gangrene among patients taking SGLT2 inhibitors were reported to the FDA between March 2013 and January 2019. In total, 39 men and 16 women developed the necrotizing fasciitis. The average time from starting the SGLT2 inhibitor to the development of the condition was 9 months and cases included use of every SGLT2 inhibitor commercially available in the US except ertugliflozin (Steglatro; Merck). Complications of the gangrene included diabetic ketoacidosis, sepsis/septic shock, and acute kidney injury. Eight patients required fecal diversion surgery and two needed amputations of a lower extremity. Three patients died. In September 2018, the FDA warned physicians about the possible risk of Fournier gangrene in diabetic patients treated with SGLT2 inhibitors. Health authorities in the United Kingdom also alerted physicians to reports of Fournier gangrene with SGLT2 inhibitor treatment. To TCTMD, Darren McGuire, MD (UT Southwestern Medical Center, Dallas, TX), noted that physicians have received ""Dear Doctor"" letters regarding the potential risk of this rare event, but said he is uncertain what to make of the association given that the number of cases is small and abstracted from the voluntarily-reported FDA adverse event registry. Additionally, it is impossible at present to make direct comparisons across treatments or to map observed-versus-expected events based on epidemiologic/natural history estimates of risk or incidence. Nonetheless, even without definitive conclusions, ""this does rise to the level of 'risk signal' that we are paying attention to moving forward in the randomized trials,"" he told TCTMD in email.McGuire, one of the investigators of the DECLARE TIMI-58 trial testing dapagliflozin (Farxiga; AstraZeneca), noted their group presented adverse event data at the American Heart Association 2018 Scientific Sessions showing eight total cases of Fournier gangrene, with only one case in the dapagliflozin-treated group and seven in the placebo arm. While these numbers are ""way too small to draw any meaningful conclusions,"" he says, they do suggest there was no safety signal in the randomized controlled trial.For physicians, McGuire said, these new data should not be ""prohibitive or adversely affect prescription"" in patients eligible for SGLT2 inhibitors based on the randomized trial data and in accordance with the FDA label. The appropriate response is continued patient and provider education with a heightened awareness of signs and symptoms of Fournier gangrene, continued counseling on urinary hygiene when prescribing, and ongoing surveillance in the SGLT2 inhibitor trials, he said.",https://t.co/Pw4eCfPf9o,news
No direct effect of SGLT2 activity on glucagon secretion,"AcknowledgementsWe thank M. Lal (AstraZeneca, Gothenburg, Sweden) for providing the human kidney tissue.Contribution statementREK and JJH conceived the study. REK and DBA designed perfusion experiments and performed isolated perfused rat pancreas experiments and assayed for glucagon, insulin and somatostatin concentrations. REK designed and performed Ussing chamber experiments and constructed figures. REK, DBA and JJH interpreted pancreas perfusion data. SMG and TM-P designed and performed qPCR expression and western blot analyses on rat and human islets/kidney and produced and interpreted data. AA and BT carried out the glucose transporter analysis on sorted human alpha, beta and delta cells from population 1. LC performed the qPCR analyses on human kidney. NW provided intellectual content and interpreted data. NJWA did the expression analysis of glucose transporters, population 2. CØ designed, performed and interpreted the immunohistochemistry on mouse, rat and human pancreas and kidney. AEA, FMG and FR did all work related to the expression of SGLT2 and other glucose transporters in mouse pancreatic cells and produced and interpreted data. REK drafted the manuscript. REK, SMG, AEA, DBA, LC, AA, NJWA, CØ, TM-P, FMG, FR, NW, BT and JJH critically revised and edited the manuscript. All authors approved the final version of the manuscript. JJH is the guarantor of this work and, as such, had full access to all the data in the study and takes responsibility for the integrity of the data and the accuracy of the data analysis.FundingREK was supported by a postdoctoral scholarship from the Lundbeck foundation (Lundbeckfonden, R264-2017-3492). LC was supported by a postdoctoral scholarship from the AstraZeneca postdoc programme. The isolated perfused rat pancreas studies, immunohistochemistry, qPCR on human and rat islets and western blotting were supported by a grant from Lundbeck foundation to REK (Lundbeckfonden, R289-2018-1026) an unrestricted grant to JJH from the Novo Nordisk Center for Basic Metabolic Research (Novo Nordisk Foundation, Denmark), a separate grant from the Novo Nordisk Foundation (grant no. NNF15OC0016574), a grant to JJH from the European Research Council (grant no. 695069) and the European Union's Seventh Framework Programme for Research, Technological Development, and Demonstration Activities (grant No. 266408). Gene expression analysis on mouse tissue was supported by grants to FR and FMG from Wellcome (106262/Z/14/Z and 106263/Z/14/Z) and the MRC (MRC_MC_UU_12012/3). The study sponsors had no involvement in the conception of study, study design, interpretation of data or writing of the manuscript.Duality of interestAA, LC and BT are employed by AstraZeneca. AstraZeneca had no involvement in the conception of study, design and execution of experiments, interpretation of data or writing of the manuscript. All other authors declare that there is no duality of interest associated with their contribution to this manuscript.Publisher's noteSpringer Nature remains neutral with regard to jurisdictional claims in published maps and institutional affiliations.",https://t.co/Sz72SsMqUW,news
CREDENCE Takes SGLT2 Inhibitors 'to the Next Level',"The enormity of the need for better treatments for diabetic kidney disease is underscored by the fact that it has been almost 18 years since the last advancement in this area, with the advent of renin-angiotensin-aldosterone system (RAAS) blockers. It's not surprising, then, that considerable excitement had built up in anticipation of results from the CREDENCE trial, which were presented recently in Melbourne, Australia, at the International Society of Nephrology congress and published simultaneously in the New England Journal of Medicine.[1] This trial shows an unequivocal benefit of canagliflozin in diabetic kidney disease, similar to the straightforward secondary prevention and cardiovascular risk reduction revealed for empagliflozin in the EMPA-REG OUTCOME trial more than 3 years ago.[2] Although the composite renal endpoint reduction (a post hoc analysis at that time) was a pleasant surprise in EMPA-REG, nephroprotection was subsequently corroborated in the CANVAS program[3] with canagliflozin, and more recently in the DECLARE-TIMI 58 trial[4] with dapagliflozin, albeit as a secondary outcome. Unequivocal Renal Benefits Notably, CREDENCE randomly assigned participants to receive canagliflozin or placebo on top of RAAS blocker therapy (as a mandatory study inclusion criterion), and still observed a staggering 30% relative risk reduction in the primary composite outcome of end-stage kidney disease, doubling of serum creatinine, or renal or cardiovascular death. In addition to the statistically significant primary outcome benefit, several clinically important renal outcomes, as well as the composite major acute cardiovascular events (nonfatal myocardial infarction, nonfatal stroke, and cardiovascular death), were reduced significantly. In a subgroup analysis, the primary composite endpoint reduction appears to be at least as robust, if not more, in the 60% of trial participants who had an estimated glomerular filtration rate (eGFR) between 30 and 60 mL/min/1.73 m2. Nephroprotection with sodium-glucose cotransporter-2 (SGLT2) inhibitors, especially at a low eGFR, is thought to be glucose independent. This is quite apparent in CREDENCE, where a minimal end-of-study A1c difference (0.1%) was observed between the trial arms in favor of canagliflozin. This concept of glucose-independent nephroprotection is further set to be tested in the ongoing Dapa-CKD trial and the upcoming EMPA-KIDNEY trial, both of which include a proportion of participants without diabetes. Broadly, CREDENCE is yet another positive outcome trial—with renal endpoints reported as the primary objective for the first time for an SGLT2 inhibitor—that adds weight to the ongoing paradigm shift of clinical practice guidelines toward emphasizing reduction of complications as the primary goal of diabetes management rather than focusing solely on a glucose target approach. Limitations to Consider Let me point out two limitations that should be considered while interpreting the results from CREDENCE: Further review and analyses may be necessary to provide clarity on the 27% of participants who discontinued the study drug within the median 2.6 years of follow-up. This percentage appears to be comparatively worse in CREDENCE than in most recently completed outcome trials in diabetes, which have an approximately 5% drug discontinuation rate per year. As acknowledged in the publication, one of the statistical limitations of CREDENCE is that the trial was stopped early at a planned interim analysis, which may increase the risk of overestimating effect sizes. Notwithstanding, the extremely tight (ie, small magnitude and spread) number needed to treat of 22 (95% confidence interval, 15-38) for the primary outcome over 2.5 years appears to be staggeringly clinically significant. What About the Amputation Risk? Anticipation (and anxieties) were even greater for this randomized trial to confirm (or not) the amputation and fracture signals observed in the CANVAS program. A collective sigh of relief was felt in the Melbourne presentation hall when no such increase in adverse outcomes was reported. The next pertinent question, then, is: How do we integrate the dissimilar amputation results in the cardiovascular versus kidney disease outcome trial programs of canagliflozin? Here are a few speculative guesses: Could differing populations have resulted in the observed amputation risk differential? Notably, unlike CANVAS, CREDENCE used only the lower dose of canagliflozin. Could this difference in study protocol, together with the less potent glucose lowering with canagliflozin at lower eGFR (and possibly less diuresis as a result), explain the discrepancy? Could practice and trial protocol adaptations after the CANVAS amputation revelations have influenced the subsequent amputation risk differential among the trial arms in CREDENCE? In addition to a more careful and comprehensive prospective assessment of foot complications (including full foot exams) mandated by a protocol amendment, investigators were recommended to interrupt study medication for any significant foot-related condition associated with amputations (including lower-extremity infection, skin ulcer, osteomyelitis, gangrene, and critical limb ischemia) until the condition resolves. However, if indeed the above practice and protocol changes were effective, should we have expected a lower rate of amputations overall? Such a speculative explanation appears to fall flat if you consider the relatively high amputation rates observed in both trial arms (no statistical difference between an event rate of 12.3 in the canagliflozin group and 11.2 per 1000 person-years in the placebo group). Could the amputation signal in CANVAS be a statistical anomaly (ie, a type 1 error)? That interpretation, though possible, should only be entertained cautiously if none of the above or any other plausible explanations provide clues to the singular adverse findings in CANVAS. Speculations aside, we must remember that data are data, especially when the evidence is coming from a high-quality randomized trial such as CREDENCE. Hence, the correct interpretation of the nonobservance of an amputation signal in CREDENCE may be that in real-life clinical situations, when physicians choose patients similar to those enrolled in the trial and practice regular foot care and counseling, the risk (if any) for amputations may be mitigated. Overall, CREDENCE takes the positive outcome evidence accruing for SGLT2 inhibitors in type 2 diabetes (since EMPA-REG OUTCOME in 2015) to the next level, and indeed may be considered a game-changing landmark trial for diabetic kidney disease, much like the pivotal EMPA-REG OUTCOME trial for secondary cardiovascular prevention. Follow Medscape on Facebook, Twitter, Instagram, and YouTube",https://t.co/9Wt9GMdY2V,news
Researchers warn about gangrene cases in patients on SGLT2 diabetes drugs,"After the FDA last year slapped a warning label on SGLT2 diabetes drugs, detailing risks of an infection with a rare flesh-eating bacteria, a team of researchers has come out with a new set of numbers—and a warning for doctors prescribing the drugs.In a study published in the Annals of Internal Medicine, researchers found patients taking SGLT2 drugs—a class that includes Johnson &amp; Johnson's Invokana, AstraZeneca's Farxiga, and Eli Lilly and Boehringer Ingelheim's Jardiance —suffered from 55 unique cases of Fournier's gangrene, a rare flesh-eating bacterial infection of the genitals. The cases were recorded between March 1, 2013, and January 31, 2019.The researchers collected those numbers from the FDA's adverse event reporting database. Thirty-nine patients were men and 16 were women. The rare condition was associated with severe consequences. All patients had surgery to remove unhealthy tissue and were ""severely ill."" Three patients died. Eight had fecal diversion surgery, while two others developed flesh-eating infections in lower extremities that required amputations. Like this story? Subscribe to FiercePharma!Biopharma is a fast-growing world where big ideas come along daily. Our subscribers rely on FiercePharma as their must-read source for the latest news, analysis and data on drugs and the companies that make them. Sign up today to get pharma news and updates delivered to your inbox and read on the go.To set those numbers in a historical context, researchers looked at Fournier's cases between 1984 and January 31, 2019. The FDA tracked 19 cases during that time frame for patients on metformin, insulin glargine, short-acting insulin, Merck's Januvia plus metformin, and Eli Lilly and Boehringer Ingelheim's GLP-1 drug Trulicity. Two of those patients died.In the Annals study, researchers note they can't establish causality, and that there may be more cases that went unreported.Still, they said Fournier's gangrene is a ""newly identified safety concern"" for patients on SGLT2 drugs and warned doctors prescribing the drugs to be ""aware of this possible complication."" They also wrote that doctors should ""have a high index of suspicion to recognize it in its early stages."" The study comes as SGLT2 drugmakers are counting on those treatments for growth. Johnson &amp; Johnson's Invokana sales have been hit by an amputation warning unique in the class, but the drugmaker recently reported data in diabetes patients suffering chronic kidney disease it hopes can help right the course for the drug.For their part, Lilly and Boehringer posted strong growth for Jardiance last year. Lilly reported that sales for the drug jumped 47% last year to $658 million. AZ's Farxiga is also on the upswing, leaping 30% last year to $1.39 billion.",https://t.co/aBkoMH3jkE,news
Glenmark launches cheaper SGLT2 inhibitor class of anti-diabetes drug in India,"Glenmark Pharmaceuticals on April 30 launched a novel and patented anti-diabetes drug belonging to the class of sodium glucose co-transporter-2 (SGLT2) inhibitor, which is said to be 50-60 percent cheaper than the existing medications of same class in the market.The drug, generically called as Remogliflozin etabonate, is used in the treatment of type-2 diabetes mellitus in adults and was approved by Indian drug regulator CDSCO in March this year. India is the first country where the drug will be sold.According to data from IQVIA, India's diabetes market is estimated at Rs 11,413 crore for the year ended March 2019. The market size of SGLT2 inhibitors is estimated at Rs. 574 crore in the same period.The exact price of Remogliflozin isn't yet known.At present three versions of SGLT2 inhibitors are sold in India belonging to British drug maker Astrazeneca's dapagliflozin (Farxiga), US-based Janssen Pharmaceuticals canagliflozin (Invokana) and Germany-based Boehringer Ingelheim's empagliflozin (Jardiance). Their cost range anywhere between Rs 450 to Rs 550 per 10 tablets.Glenmark said it will commercialise Remogliflozin in India under brand names Remo and Remozen.SGLT2 inhibitors are third generation anti-diabetic drugs that help achieve glycemic control by acting on the SGLT2 receptors in the proximal tubule of the kidney, thereby preventing renal reabsorption of glucose and promoting excretion of glucose in the urine.SGLT2 drugs provide glycemic control, induce weight loss and reduce cardiovascular risks.Glenmark received regulatory approval for Remogliflozin 100 mg tablets, twice daily, after successfully completing Phase-3 clinical trials in which Remogliflozin demonstrated good efficacy and safety profile in a head-to-head comparison against Dapagliflozin.Remogliflozin, the latest drug in SGLT2 inhibitors' class to get regulatory approval in the world, has been studied in 26 clinical trials globally, covering around 2,500 people from various ethnicities.Remogliflozin was discovered and developed by Japanese firm Kissei Pharmaceutical and later developed by GlaxoSmithKline and Glenmark collaborator BHV Pharma, a wholly-owned subsidiary of Avolynt.Glenmark secured certain rights to Remogliflozin through a licensing collaboration agreement with BHV Pharma, and conducted the Phase-3 clinical trial.""Globally, SGLT2 inhibitors are emerging as a preferred treatment for management of type-2 diabetes and Glenmark is proud to introduce a novel molecule in this class, which is cutting-edge and researched extensively. Diabetes is a key area of focus for Glenmark and with the launch of Remogliflozin, the company aims to improve access to SGLT2 inhibitors by providing an effective, high quality and world-class treatment option to patients in India,"" said Sujesh Vasudevan, President, India Formulations, Middle East and Africa at Glenmark Pharmaceuticals.The American Diabetes Association and the European Association for the Study of Diabetes have recommended use of SGLT2 inhibitors as an alternative first line treatment to Metformin or as an adjunctive treatment in the management of type-2 diabetes mellitus.SGLT2 inhibitors are particularly recommended for use in patients that have certain established cardiovascular diseases.India is estimated to have around 72 million adults living with diabetes, according to the International Diabetes Federation's Diabetes Atlas 2017.Get Lok Sabha 2019 Live Election Results, constituency-wise tally, news, views and analysisFollow our Lok Sabha Election Result Live Blog here.",https://t.co/AkFcfbekpk,news
"In good news for diabetics, new drug to be 60% cheaper","Mumbai: Diabetics in the country have something to cheer about. A completely new drug in the SGLT2 Inhibitor (sodium glucose co-transporter-2) family is being introduced here for the first time globally, which promises to disrupt the anti-diabetes market by lowering cost of therapy by nearly 60%. The drug offers an affordable treatment for millions of type 2 diabetese patients to tackle the debilitating disease which gradually attacks and weakens all body organs. Remogliflozin, developed by Mumbai-based Glenmark, will be priced around Rs 25 for daily therapy, as against other drugs in the same class available between Rs 55-60 per day. This marks the first global approval to a new drug application by the regulator for an SGLT2 Inhibitor in India. SGLT2 Inhibitors are one of the fastest-selling diabetes drugs globally, totalling $9 billion, while in India they grew by 10 times over three years to nearly Rs 600 crore. At present, the same class of drugs available here are all patented. Diabetes is fast gaining the status of a potential epidemic in India with 74 million individuals currently diagnosed with the disease, along with a huge undiagnosed diabetes population. The economic burden of diabetes is high in India as most patients pay out of their pocket for treatment due to the lack of medical reimbursement. The cost of treatment includes consultation, investigations, drugs and monitoring, and, due to the nature of the disease, the complications related to the disease may increase it substantially.The SGLT2 category is known to provide glycemic control, induce weight loss and reduce cardiovascular risks, doctors say. Anoop Misra, an endocrinologist, says this is an excellent class (of drugs). For Remogliflozin, the pricing advantage will be attractive for patients who cannot afford the expensive alternatives, but more robust trials are needed to prove the efficacy and safety. Remogliflozin was discovered and developed by Japanese firm Kissei Pharmaceutical and later developed by GlaxoSmithKline and BHV Pharma, a subsidiary of US company, Avolynt. Glenmark secured certain rights to Remogliflozin through a collaboration with BHV Pharma, and developed the drug and conducted Phase-3 clinical trials on over 600 patients. Metformin continues to be the first line treatment for patients with type-2 diabetes but as the disease progresses, other diabetes medicines are added, which include Sulfonylureas class (glimepiride, glyburide, glipizide, chlorpropamide), DPP-4 Inhibitors class (teneligliptin, sitagliptin, vildagliptin, linagliptin, saxagliptin) and SGLT2 Inhibitors class (empagliflozin, dapagliflozin, canagliflozin).According to data from market research firm, IQVIA, the diabetes market in India is estimated at Rs 11,500 crore (MAT March 2019), with that of SGLT2 Inhibitors at nearly Rs 600 crore.",https://t.co/XvQI5qOnJz,news
Researchers warn about gangrene cases in patients on SGLT2 diabetes drugs,"After the FDA last year slapped a warning label on SGLT2 diabetes drugs, detailing risks of an infection with a rare flesh-eating bacteria, a team of researchers has come out with a new set of numbers—and a warning for doctors prescribing the drugs.In a study published in the Annals of Internal Medicine, researchers found patients taking SGLT2 drugs—a class that includes Johnson &amp; Johnson's Invokana, AstraZeneca's Farxiga, and Eli Lilly and Boehringer Ingelheim's Jardiance —suffered from 55 unique cases of Fournier's gangrene, a rare flesh-eating bacterial infection of the genitals. The cases were recorded between March 1, 2013, and January 31, 2019.The researchers collected those numbers from the FDA's adverse event reporting database. Thirty-nine patients were men and 16 were women. The rare condition was associated with severe consequences. All patients had surgery to remove unhealthy tissue and were ""severely ill."" Three patients died. Eight had fecal diversion surgery, while two others developed flesh-eating infections in lower extremities that required amputations. Like this story? Subscribe to FiercePharma!Biopharma is a fast-growing world where big ideas come along daily. Our subscribers rely on FiercePharma as their must-read source for the latest news, analysis and data on drugs and the companies that make them. Sign up today to get pharma news and updates delivered to your inbox and read on the go.To set those numbers in a historical context, researchers looked at Fournier's cases between 1984 and January 31, 2019. The FDA tracked 19 cases during that time frame for patients on metformin, insulin glargine, short-acting insulin, Merck's Januvia plus metformin, and Eli Lilly and Boehringer Ingelheim's GLP-1 drug Trulicity. Two of those patients died.In the Annals study, researchers note they can't establish causality, and that there may be more cases that went unreported.Still, they said Fournier's gangrene is a ""newly identified safety concern"" for patients on SGLT2 drugs and warned doctors prescribing the drugs to be ""aware of this possible complication."" They also wrote that doctors should ""have a high index of suspicion to recognize it in its early stages."" The study comes as SGLT2 drugmakers are counting on those treatments for growth. Johnson &amp; Johnson's Invokana sales have been hit by an amputation warning unique in the class, but the drugmaker recently reported data in diabetes patients suffering chronic kidney disease it hopes can help right the course for the drug.For their part, Lilly and Boehringer posted strong growth for Jardiance last year. Lilly reported that sales for the drug jumped 47% last year to $658 million. AZ's Farxiga is also on the upswing, leaping 30% last year to $1.39 billion.",https://t.co/bU1cueKQjV,news
Lower limb events in individuals with type 2 diabetes: evidence for an increased risk associated with diuretic use,"AcknowledgementsWe thank: all participants included and followed-up in the cohort study for their kind participation in this research; the nurses and technicians who contributed to this clinical study; and E. Gand for her help with data management.The independent adjudication committee for the SURDIAGENE study includes:J. M. Halimi (Chairman Tours, France), G. Ducrocq (Paris, France), R. Roussel (Paris, France), P. Llatty (Poitiers, France), V. Rigalleau (Bordeaux, France), C. Hulin (Poitiers, France), D. Montaigne (Lille, France) and P. Zaoui (Grenoble, France).Some of the data were presented as an abstract at the EASD meeting in 2018 (session 7, abstract 12).Contribution statementLP had full access to all the data in the study and takes responsibility for the integrity of the data and the accuracy of the data analysis. LP, RR, KM and SH made substantial contributions to conception and design of the study. All authors made substantial contributions to acquisition, analysis or interpretation of data and gave final approval of the version to be published. LP and RR drafted the manuscript and all the authors made critical revision of the manuscript for important intellectual content.FundingThe SURDIAGENE study was supported by grants from the French Ministry of Health (Programme Hospitalier de Recherche Clinique [PHRC]-Poitiers 2004) and the Association Française des Diabetiques (AFD) (Research Grant 2003). The sponsors had no role in the: design or conduct of the study; collection, management, analysis or interpretation of the data; preparation, review or approval of the manuscript; or decision to submit the manuscript for publication.Duality of interestLP reports grants, personal fees and non-financial support from Novo Nordisk and Sanofi, personal fees and non-financial support from Eli Lilly and non-financial support from Servier. RR reports grants, personal fees and non-financial support from Sanofi, personal fees and non-financial support from MSD, grants from Amgen, personal fees from Physiogenex, AstraZeneca, Janssen, Eli Lilly, Abbott, Medtronic, Novo Nordisk and Servier and grants from Novo Nordisk. AB reports non-financial support from Sanofi, Novo Nordisk and Elivie. MM reports personal fees from Abbott, Intarcia, Eli Lilly, MSD, Novo Nordisk, Sanofi and Servier, grants from Novo Nordisk, Sanofi, Servier, MSD and Novartis and non-financial support from Novo Nordisk. KM reports personal fees and non-financial support from Novo Nordisk and Sanofi and non-financial support from VitalAir. SH reports personal fees and non-financial support from AstraZeneca, Bristol-Myers Squibb, Janssen, MSD and Sanofi, personal fees from Abbott, Boehringer Ingelheim, Eli Lily, Novartis, Novo Nordisk, Servier and Takeda. All support was outside the submitted work and modest. All other authors declare that there is no duality of interest associated with their contribution to this manuscript.Publisher's noteSpringer Nature remains neutral with regard to jurisdictional claims in published maps and institutional affiliations.",https://t.co/U6Hx1UqS1r,news
SGLT2 inhibitors to prevent heart and kidney disease in type 2 diabetes,"SGLT2 inhibitors to prevent heart and kidney disease in type 2 diabetes Posted by Medivizor on Apr 27, 2019 in Diabetes mellitus | In a nutshell The aim of this study was to investigate the effect of SGLT2 inhibitors on the prevention of heart and kidney disease in patients with type 2 diabetes (T2D). The main outcome was that SGLT2-inhibitors reduced hospitalization for heart failure and prevented the worsening of kidney disease in T2D.Some background There are many complications of T2D. These include heart and kidney disease. In particular, patients with T2D have an increased rate of atherosclerosis (ATS). This is a build-up of plaque in the blood vessels in the body. These plaques result in high blood pressure and increased risk of major cardiac events (heart attack, stroke, death). SGLT2 inhibitors (SGLT2i) are drugs used in the treatment of T2D. They work by blocking the uptake of sugar in the kidney back into the blood. Instead, the sugar gets removed from the body in the urine. Some SGLT2i include canagliflozin (Invokana), dapagliflozin (Farxiga), and empagliflozin (Jardiance). The effect of SGLT2i on preventing heart and kidney disease in patients with T2D is still under investigation.Methods &amp; findings This study included data from 3 trials with 34,322 patients. 60.2% of these patients already had established ATS before treatment with SGLT2i.SGLT2i reduced major cardiac events by 11%. However, this benefit was only seen in patients who already had ATS. SGLT2i also decreased the rate of hospitalization due to heart failure by 23%. This was seen in both patients with and without ATS. SGLT2i also prevented the worsening of kidney disease by 45% in patients with and without ATS.The bottom line The authors concluded that SGLT2i decreased the rate of major cardiac events only in patients with ATS. However, SGLT2i decreased the hospitalization for heart failure and prevented kidney disease worsening in both patients with and without ATS.Published By :Lancet (London, England)Original Title :SGLT2 inhibitors for primary and secondary prevention of cardiovascular and renal outcomes in type 2 diabetes: a systematic review and meta-analysis of cardiovascular outcome trials. For personalized updates regarding diabetes mellitus: signup For personalized updates regarding diabetes mellitus: signup Oops. Was this not relevant for you? If you sign up for Medivizor, you'll receive PERSONALIZED updates that are JUST FOR YOU. Want to give it a try? email error",https://t.co/0y1Vd8172V,news
Researchers warn about gangrene cases in patients on SGLT2 diabetes drugs,"After the FDA last year slapped a warning label on SGLT2 diabetes drugs, detailing risks of an infection with a rare flesh-eating bacteria, a team of researchers has come out with a new set of numbers—and a warning for doctors prescribing the drugs.In a study published in the Annals of Internal Medicine, researchers found patients taking SGLT2 drugs—a class that includes Johnson &amp; Johnson's Invokana, AstraZeneca's Farxiga, and Eli Lilly and Boehringer Ingelheim's Jardiance —suffered from 55 unique cases of Fournier's gangrene, a rare flesh-eating bacterial infection of the genitals. The cases were recorded between March 1, 2013, and January 31, 2019.The researchers collected those numbers from the FDA's adverse event reporting database. Thirty-nine patients were men and 16 were women.The rare condition was associated with severe consequences. All patients had surgery to remove unhealthy tissue and were ""severely ill."" Three patients died. Eight had fecal diversion surgery, while two others developed flesh-eating infections in lower extremities that required amputations.To set those numbers in a historical context, researchers looked at Fournier's cases between 1984 and January 31, 2019. The FDA tracked 19 cases during that time frame for patients on metformin, insulin glargine, short-acting insulin, Merck's Januvia plus metformin, and Eli Lilly and Boehringer Ingelheim's GLP-1 drug Trulicity. Two of those patients died.In the Annals study, researchers note they can't establish causality, and that there may be more cases that went unreported.Still, they said Fournier's gangrene is a ""newly identified safety concern"" for patients on SGLT2 drugs and warned doctors prescribing the drugs to be ""aware of this possible complication."" They also wrote that doctors should ""have a high index of suspicion to recognize it in its early stages.""The study comes as SGLT2 drugmakers are counting on those treatments for growth. Johnson &amp; Johnson's Invokana sales have been hit by an amputation warning unique in the class, but the drugmaker recently reported data in diabetes patients suffering chronic kidney disease it hopes can help right the course for the drug.For their part, Lilly and Boehringer posted strong growth for Jardiance last year. Lilly reported that sales for the drug jumped 47% last year to $658 million. AZ's Farxiga is also on the upswing, leaping 30% last year to $1.39 billion.https://www.fiercepharma.com/pharma/researchers-warn-about-flesh-eating-bacteria-for-patients-sglt2sLike this:Like Loading...Related",https://t.co/WnUXczlulw,news
